match_id,team,total_xG,shot_count,avg_shot_xG,goals,rolling_xG,rolling_shots,rolling_conversion,h_a
26680,Bournemouth,2.184187336,13,0.16801441046153845,2,1.7206844676,16.4,0.06097560975609756,h
26684,Bournemouth,0.328651493,11,0.029877408454545454,1,1.4789529263999999,14.8,0.08108108108108109,a
26692,Bournemouth,2.56452915,12,0.21371076249999998,2,1.694225638,13.4,0.11940298507462686,h
26702,Bournemouth,2.493347213,15,0.1662231475333333,2,1.904464146,13.6,0.10294117647058823,a
26712,Bournemouth,1.912269244,18,0.10623718022222223,1,1.8965968871999999,13.8,0.11594202898550725,h
26731,Bournemouth,3.079007651,12,0.2565839709166667,4,2.0755609502,13.6,0.14705882352941177,a
26732,Bournemouth,3.290576036,21,0.15669409695238096,1,2.6679458588,15.6,0.1282051282051282,h
26750,Bournemouth,3.982573799,22,0.18102608177272728,2,2.9515547885999998,17.6,0.11363636363636363,a
26754,Bournemouth,2.063774674,29,0.07116464393103447,1,2.8656402808,20.4,0.08823529411764706,h
26769,Bournemouth,1.828309021,10,0.1828309021,3,2.8488482362,18.8,0.11702127659574468,a
26772,Bournemouth,1.219476555,18,0.0677486975,0,2.476942017,20.0,0.07,h
26786,Bournemouth,1.706916497,16,0.1066822810625,2,2.1602101092,19.0,0.08421052631578947,a
26792,Bournemouth,2.843806369,19,0.14967401942105263,1,1.9324566232000002,18.4,0.07608695652173914,h
26809,Bournemouth,1.148450455,7,0.16406435071428574,2,1.7493917794000002,14.0,0.11428571428571428,a
26819,Bournemouth,2.735037601,19,0.14394934742105264,4,1.9307374954,15.8,0.11392405063291139,a
26822,Bournemouth,2.870561377,16,0.1794100860625,5,2.2609544597999998,15.4,0.18181818181818182,h
26832,Bournemouth,1.660508327,14,0.11860773764285715,0,2.2516728258,15.0,0.16,h
26849,Bournemouth,2.087222595,14,0.14908732821428572,3,2.100356071,14.0,0.2,a
26852,Bournemouth,0.6296906600000001,8,0.07871133250000001,0,1.996604112,14.2,0.16901408450704225,h
26863,Bournemouth,1.733823723,19,0.09125388015789473,1,1.7963613364,14.2,0.1267605633802817,a
26879,Bournemouth,2.248051786,17,0.13223834035294119,2,1.6718594182,14.4,0.08333333333333333,a
26882,Bournemouth,0.0,17,0.0,0,1.3397577528,15.0,0.08,h
26896,Bournemouth,2.048369946,24,0.08534874775000001,1,1.331987223,17.0,0.047058823529411764,h
21928,Brentford,3.071,21,0.14623809523809525,2,3.071,21.0,0.09523809523809523,h
21943,Brentford,0.634,11,0.05763636363636364,0,1.8525,16.0,0.0625,a
21949,Brentford,1.757,12,0.14641666666666667,1,1.8206666666666667,14.666666666666666,0.06818181818181818,h
21963,Brentford,1.759,18,0.09772222222222221,1,1.80525,15.5,0.06451612903225806,a
21972,Brentford,1.024,11,0.0930909090909091,1,1.6490000000000002,14.6,0.0684931506849315,a
21977,Brentford,3.1830000000000003,23,0.1383913043478261,3,1.6714000000000002,15.0,0.08,h
21989,Brentford,2.481,7,0.3544285714285714,2,2.0408,14.2,0.11267605633802817,a
21995,Brentford,1.8880000000000001,16,0.11800000000000001,2,2.067,15.0,0.12,h
22011,Brentford,1.451,16,0.0906875,0,2.0054000000000003,14.6,0.1095890410958904,a
22015,Brentford,1.915,9,0.2127777777777778,0,2.1835999999999998,14.2,0.09859154929577464,h
22027,Brentford,3.426,27,0.12688888888888888,3,2.2321999999999997,15.0,0.09333333333333334,h
22036,Brentford,1.229,8,0.153625,1,1.9817999999999998,15.2,0.07894736842105263,a
22052,Brentford,0.649,10,0.0649,0,1.734,14.0,0.05714285714285714,a
22057,Brentford,0.797,4,0.19925,1,1.6032,11.6,0.08620689655172414,h
22074,Brentford,0.504,6,0.084,0,1.3210000000000002,11.0,0.09090909090909091,a
22077,Brentford,2.601,14,0.18578571428571428,1,1.1560000000000001,8.4,0.07142857142857142,h
22086,Brentford,1.286,9,0.1428888888888889,1,1.1674,8.6,0.06976744186046512,a
22104,Brentford,1.943,11,0.17663636363636365,3,1.4262000000000001,8.8,0.13636363636363635,h
22109,Brentford,1.646,10,0.1646,2,1.596,10.0,0.14,a
22117,Brentford,0.867,9,0.09633333333333333,1,1.6686,10.6,0.1509433962264151,h
22134,Brentford,1.849,9,0.20544444444444443,2,1.5182,9.6,0.1875,a
22135,Brentford,1.939,15,0.12926666666666667,1,1.6488,10.8,0.16666666666666666,h
22153,Brentford,1.3599999999999999,14,0.09714285714285713,2,1.5322,11.4,0.14035087719298245,a
22155,Brentford,2.54,14,0.18142857142857144,2,1.7109999999999999,12.2,0.13114754098360656,h
22166,Brentford,0.734,9,0.08155555555555555,1,1.6844000000000001,12.2,0.13114754098360656,a
22177,Brentford,1.252,9,0.1391111111111111,1,1.565,12.2,0.11475409836065574,a
22187,Brentford,3.1959999999999997,31,0.10309677419354837,1,1.8163999999999998,15.4,0.09090909090909091,h
22200,Brentford,0.423,5,0.0846,0,1.629,13.6,0.07352941176470588,h
22205,Brentford,1.445,8,0.180625,3,1.41,12.4,0.0967741935483871,a
22217,Brentford,1.091,9,0.12122222222222222,1,1.4814,12.4,0.0967741935483871,h
22230,Brentford,3.78,21,0.18,5,1.9869999999999997,14.8,0.13513513513513514,a
22237,Brentford,0.958,10,0.0958,0,1.5394,10.6,0.16981132075471697,a
22246,Brentford,0.857,7,0.12242857142857143,0,1.6262,11.0,0.16363636363636364,h
22255,Brentford,1.928,11,0.17527272727272727,2,1.7227999999999999,11.6,0.13793103448275862,a
22266,Brentford,1.701,10,0.1701,2,1.8448,11.8,0.15254237288135594,h
22282,Brentford,1.91,11,0.17363636363636362,2,1.4708,9.8,0.12244897959183673,h
22287,Brentford,3.52,17,0.20705882352941177,3,1.9832,11.2,0.16071428571428573,a
22298,Brentford,0.949,12,0.07908333333333332,1,2.0016000000000003,12.2,0.16393442622950818,h
26609,Brentford,1.4440843600000002,10,0.14440843600000003,2,1.904816872,12.0,0.16666666666666666,h
26621,Brentford,0.45723910700000003,8,0.057154888375000004,0,1.6560646934,11.6,0.13793103448275862,a
26623,Brentford,3.894881465,20,0.19474407325,3,2.0530409864,13.4,0.13432835820895522,h
26637,Brentford,1.050943166,8,0.13136789575,1,1.5592296196,11.6,0.1206896551724138,a
26648,Brentford,0.89356507,6,0.14892751166666665,1,1.5481426336,10.4,0.1346153846153846,a
26656,Brentford,0.37022223400000004,8,0.046277779250000005,1,1.3333702083999999,10.0,0.12,h
26667,Brentford,4.136057882,19,0.21768725694736843,5,2.0691339634,12.2,0.18032786885245902,h
26675,Brentford,0.892842571,8,0.111605321375,1,1.4687261846,9.8,0.1836734693877551,a
26685,Brentford,4.096629769,20,0.20483148845,3,2.0778635052,12.2,0.18032786885245902,h
26693,Brentford,0.739231313,5,0.1478462626,1,2.0469967538,12.0,0.18333333333333332,a
26702,Brentford,1.564741268,12,0.13039510566666665,3,2.2859005605999996,12.8,0.203125,h
26715,Brentford,1.3431399880000001,9,0.14923777644444447,0,1.7273169818,10.8,0.14814814814814814,a
26722,Brentford,2.220164428,13,0.17078187907692308,4,1.9927813532000003,11.8,0.1864406779661017,h
26734,Brentford,1.132661714,9,0.12585130155555554,1,1.3999877422,9.6,0.1875,a
26743,Brentford,1.745999084,11,0.15872718945454545,4,1.6013412964,10.8,0.2222222222222222,h
26757,Brentford,1.697008668,9,0.18855651866666667,1,1.6277947764,10.2,0.19607843137254902,a
