match_id,team,total_xG,avg_shot_xG,shot_count,goals,conversion_rate,h_team,a_team,team_name
22175,Away,1.604,0.229142857,7,0,0,Arsenal,Chelsea,Chelsea
22175,Home,3.461,0.128185185,27,5,0.185185185,Arsenal,Chelsea,Arsenal
22176,Away,1.908,0.136285714,14,4,0.285714286,Brighton,Manchester City,Manchester City
22176,Home,0.572,0.081714286,7,0,0,Brighton,Manchester City,Brighton
22177,Away,1.252,0.139111111,9,1,0.111111111,Burnley,Brentford,Brentford
22177,Home,2.697,0.158647059,17,2,0.117647059,Burnley,Brentford,Burnley
22178,Away,0.551,0.078714286,7,0,0,Crystal Palace,Newcastle United,Newcastle United
22178,Home,1.437,0.07185,20,2,0.1,Crystal Palace,Newcastle United,Crystal Palace
22179,Away,1.874,0.081478261,23,0,0,Everton,Liverpool,Liverpool
22179,Home,1.941,0.1213125,16,2,0.125,Everton,Liverpool,Everton
22180,Away,2.146,0.153285714,14,0,0,Fulham,Tottenham,Tottenham
22180,Home,2.614,0.163375,16,3,0.1875,Fulham,Tottenham,Fulham
22181,Away,1.953,0.1220625,16,1,0.0625,Luton,Nottingham Forest,Nottingham Forest
22181,Home,0.855,0.0855,10,1,0.1,Luton,Nottingham Forest,Luton
22182,Away,1.208,0.1208,10,2,0.2,Manchester United,Sheffield United,Sheffield United
22182,Home,3.518,0.14072,25,4,0.16,Manchester United,Sheffield United,Manchester United
22183,Away,0.911,0.070076923,13,1,0.076923077,West Ham,Aston Villa,Aston Villa
22183,Home,1.342,0.103230769,13,1,0.076923077,West Ham,Aston Villa,West Ham
22184,Away,2.416,0.115047619,21,1,0.047619048,Wolverhampton Wanderers,Bournemouth,Bournemouth
22184,Home,0.485,0.032333333,15,0,0,Wolverhampton Wanderers,Bournemouth,Wolverhampton Wanderers
22185,Away,0.934,0.11675,8,1,0.125,Bournemouth,Everton,Everton
22185,Home,1.404,0.127636364,11,1,0.090909091,Bournemouth,Everton,Bournemouth
22186,Away,1.663,0.127923077,13,0,0,Aston Villa,Wolverhampton Wanderers,Wolverhampton Wanderers
22186,Home,1.284,0.116727273,11,2,0.181818182,Aston Villa,Wolverhampton Wanderers,Aston Villa
22187,Away,0.991,0.090090909,11,1,0.090909091,Brentford,Manchester United,Manchester United
22187,Home,3.196,0.103096774,31,1,0.032258065,Brentford,Manchester United,Brentford
22188,Away,2.381,0.132277778,18,2,0.111111111,Chelsea,Burnley,Burnley
22188,Home,4.465,0.13530303,33,2,0.060606061,Chelsea,Burnley,Chelsea
22189,Away,0.44,0.048888889,9,1,0.111111111,Liverpool,Brighton,Brighton
22189,Home,3.214,0.107133333,30,2,0.066666667,Liverpool,Brighton,Liverpool
22190,Away,0.512,0.085333333,6,0,0,Manchester City,Arsenal,Arsenal
22190,Home,1.219,0.101583333,12,0,0,Manchester City,Arsenal,Manchester City
22191,Away,0.995,0.110555556,9,3,0.333333333,Newcastle United,West Ham,West Ham
